       0.0000   0.16159191727638E+00  0.15999996466620E-10  0.16159191727638E+00  0.10880404710770E+00  0.52787907421589E-01  0.10666667202286E-10  0.53333318664195E-11
       0.0100   0.16092440485954E+00  0.55267225252464E-03  0.16147707402706E+00  0.10831068456173E+00  0.52613712847233E-01  0.44079791405238E-03  0.11187445488758E-03
       0.0200   0.15958568453789E+00  0.21987592335790E-02  0.16178444027901E+00  0.10723214596510E+00  0.52353546023369E-01  0.17513204365969E-02  0.44743873877451E-03
       0.0300   0.15759363770485E+00  0.49076136201620E-02  0.16250124573708E+00  0.10558708012104E+00  0.52006620913744E-01  0.38999118842185E-02  0.10077017359436E-02
       0.0400   0.15498235821724E+00  0.86312405765057E-02  0.16361360251904E+00  0.10340893268585E+00  0.51573507487774E-01  0.68365065380931E-02  0.17947318265215E-02
       0.0500   0.15180230140686E+00  0.13303892686963E-01  0.16510619223118E+00  0.10074569284916E+00  0.51056656986475E-01  0.10492946952581E-01  0.28109466657043E-02
       0.0600   0.14812165498734E+00  0.18841788172722E-01  0.16696344316006E+00  0.97660616040230E-01  0.50461143255234E-01  0.14783628284931E-01  0.40581598877907E-02
       0.0700   0.14402705430984E+00  0.25142971426249E-01  0.16917002201080E+00  0.94231903553009E-01  0.49795307219028E-01  0.19606526941061E-01  0.55364524014294E-02
       0.0800   0.13962337374687E+00  0.32087486237288E-01  0.17171086370945E+00  0.90552248060703E-01  0.49071274697781E-01  0.24844586849213E-01  0.72429142892361E-02
       0.0900   0.13503336906433E+00  0.39538085460663E-01  0.17457145452499E+00  0.86727976799011E-01  0.48305701464415E-01  0.30367733910680E-01  0.91703720390797E-02
       0.1000   0.13039670884609E+00  0.47341205179691E-01  0.17773792147636E+00  0.82877159118652E-01  0.47519929707050E-01  0.36035064607859E-01  0.11306192725897E-01
       0.1100   0.12586705386639E+00  0.55329315364361E-01  0.18119636178017E+00  0.79127512872219E-01  0.46740055084229E-01  0.41698127985001E-01  0.13631282374263E-01
       0.1200   0.12160909920931E+00  0.63323445618153E-01  0.18493254482746E+00  0.75612753629684E-01  0.45996874570847E-01  0.47204036265612E-01  0.16119511798024E-01
       0.1300   0.11779414117336E+00  0.71137122809887E-01  0.18893125653267E+00  0.72469316422939E-01  0.45325301587582E-01  0.52399836480618E-01  0.18737360835075E-01
       0.1400   0.11459454149008E+00  0.78581348061562E-01  0.19317588210106E+00  0.69831401109695E-01  0.44763684272766E-01  0.57137154042721E-01  0.21444316953421E-01
       0.1500   0.11217829585075E+00  0.85470199584961E-01  0.19764849543571E+00  0.67826300859451E-01  0.44352676719427E-01  0.61276741325855E-01  0.24193700402975E-01
       0.1600   0.11070218682289E+00  0.91627836227417E-01  0.20233002305031E+00  0.66568598151207E-01  0.44134169816971E-01  0.64693957567215E-01  0.26934018358588E-01
       0.1700   0.11030434072018E+00  0.96895292401314E-01  0.20719963312149E+00  0.66155299544334E-01  0.44149879366159E-01  0.67284755408764E-01  0.29610864818096E-01
       0.1800   0.11109879612923E+00  0.10113801062107E+00  0.21223680675030E+00  0.66660314798355E-01  0.44439576566219E-01  0.68969309329987E-01  0.32168999314308E-01
       0.1900   0.11316804587841E+00  0.10425271093845E+00  0.21742075681686E+00  0.68129755556583E-01  0.45039568096399E-01  0.69698065519333E-01  0.34554939717054E-01
       0.2000   0.11655776202679E+00  0.10617373883724E+00  0.22273150086403E+00  0.70578232407570E-01  0.45981060713530E-01  0.69454729557037E-01  0.36719180643559E-01
       0.2100   0.12127347290516E+00  0.10687778890133E+00  0.22815126180649E+00  0.73986515402794E-01  0.47288514673710E-01  0.68259261548519E-01  0.38618676364422E-01
       0.2200   0.12727607786655E+00  0.10638730973005E+00  0.23366338014603E+00  0.78299909830093E-01  0.48978380858898E-01  0.66168718039989E-01  0.40218714624643E-01
       0.2300   0.13448598980904E+00  0.10477139800787E+00  0.23925739526749E+00  0.83430349826813E-01  0.51057871431112E-01  0.63276864588261E-01  0.41494607925415E-01
       0.2400   0.14277756214142E+00  0.10214478522539E+00  0.24492233991623E+00  0.89256383478642E-01  0.53524103015661E-01  0.59711828827858E-01  0.42433142662048E-01
       0.2500   0.15199021995068E+00  0.98663747310638E-01  0.25065398216248E+00  0.95629662275314E-01  0.56363433599472E-01  0.55630818009377E-01  0.43033126741648E-01
       0.2600   0.16192734241486E+00  0.94521589577198E-01  0.25644892454147E+00  0.10237821191549E+00  0.59551514685154E-01  0.51215693354607E-01  0.43306030333042E-01
       0.2700   0.17236496508121E+00  0.89940771460533E-01  0.26230573654175E+00  0.10931345820427E+00  0.63053816556931E-01  0.46664997935295E-01  0.43275721371174E-01
       0.2800   0.18306046724319E+00  0.85163176059723E-01  0.26822364330292E+00  0.11623797565699E+00  0.66825300455093E-01  0.42185109108686E-01  0.42977899312973E-01
       0.2900   0.19376198947430E+00  0.80441117286682E-01  0.27420312166214E+00  0.12295148521662E+00  0.70812806487083E-01  0.37981495261192E-01  0.42459316551685E-01
       0.3000   0.20421642065048E+00  0.76026201248169E-01  0.28024262189865E+00  0.12926270067692E+00  0.74955552816391E-01  0.34249544143677E-01  0.41776299476624E-01
       0.3100   0.21417650580406E+00  0.72159282863140E-01  0.28633579611778E+00  0.13499224185944E+00  0.79186409711838E-01  0.31165702268481E-01  0.40993213653564E-01
       0.3200   0.22341412305832E+00  0.69060415029526E-01  0.29247453808784E+00  0.13998152315617E+00  0.83434745669365E-01  0.28879713267088E-01  0.40180232375860E-01
